,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,ticker
13343,2019-05-09 05:00:00,6124.42,6084.35,6100.97,1897.67,11627399.22,6089.46,direct,,BTC
13344,2019-05-09 06:00:00,6115.97,6074.47,6089.46,1680.08,10292381.05,6107.81,direct,,BTC
13345,2019-05-09 07:00:00,6116.46,6092.26,6107.81,1172.92,7138552.98,6097.25,direct,,BTC
13346,2019-05-09 08:00:00,6110.61,6087.38,6097.25,1418.51,8691509.77,6088.42,direct,,BTC
13347,2019-05-09 09:00:00,6092.64,6054.53,6088.42,2169.94,13192891.13,6092.62,direct,,BTC
13348,2019-05-09 10:00:00,6099.88,6084.85,6092.62,842.09,5152686.57,6088.6,direct,,BTC
13349,2019-05-09 11:00:00,6089.24,6062.86,6088.6,2266.7,13885520.69,6075.45,direct,,BTC
13350,2019-05-09 12:00:00,6075.57,6021.7,6075.45,3128.06,18851947.71,6040.2,direct,,BTC
13351,2019-05-09 13:00:00,6052.58,6002.51,6040.2,2774.01,16695740.52,6048.92,direct,,BTC
13352,2019-05-09 14:00:00,6052.61,6028.12,6048.92,1586.05,9541810.78,6035.59,direct,,BTC
13353,2019-05-09 15:00:00,6048.26,6017.42,6035.59,1871.23,11317347.11,6032.67,direct,,BTC
13354,2019-05-09 16:00:00,6083.78,6028.03,6032.67,1922.79,11686155.28,6083.33,direct,,BTC
13355,2019-05-09 17:00:00,6094.57,6068.9,6083.33,1600.27,9738611.39,6093.18,direct,,BTC
13356,2019-05-09 18:00:00,6102.82,6076.16,6093.18,1398.01,8498033.97,6082.04,direct,,BTC
13357,2019-05-09 19:00:00,6106.07,6077.76,6082.04,1313.88,7984503.56,6099.01,direct,,BTC
13358,2019-05-09 20:00:00,6113.74,6083.72,6099.01,1405.93,8582955.94,6112.1,direct,,BTC
13359,2019-05-09 21:00:00,6162.57,6109.07,6112.1,2624.99,16099565.12,6142.53,direct,,BTC
13360,2019-05-09 22:00:00,6186.18,6135.08,6142.53,2197.97,13548924.41,6184.91,direct,,BTC
13361,2019-05-09 23:00:00,6194.91,6142.48,6184.91,1891.83,11661035.3,6171.96,direct,,BTC
13362,2019-05-10 00:00:00,6185.59,6136.57,6171.96,2063.11,12766808.22,6139.16,direct,,BTC
13363,2019-05-10 01:00:00,6195.84,6133.21,6139.16,2241.56,13822456.22,6195.83,direct,,BTC
13364,2019-05-10 02:00:00,6271.05,6185.45,6195.83,4737.11,29504853.34,6244.28,direct,,BTC
13365,2019-05-10 03:00:00,6321.15,6243.46,6244.28,6088.51,38309808.37,6295.66,direct,,BTC
13366,2019-05-10 04:00:00,6310.14,6236.57,6295.66,3158.7,19800095.45,6310.13,direct,,BTC
13367,2019-05-10 05:00:00,6310.46,6269.64,6310.13,1558.85,9811717.98,6287.91,direct,,BTC
13368,2019-05-10 06:00:00,6302.57,6267.34,6287.91,1331.47,8380761.89,6301.85,direct,,BTC
13369,2019-05-10 07:00:00,6353.18,6285.83,6301.85,3952.91,25011305.0,6340.88,direct,,BTC
13370,2019-05-10 08:00:00,6353.08,6292.49,6340.88,2540.24,16051966.59,6307.08,direct,,BTC
13371,2019-05-10 09:00:00,6319.23,6281.06,6307.08,1149.9,7245326.2,6318.48,direct,,BTC
13372,2019-05-10 10:00:00,6338.53,6292.94,6318.48,1820.8,11475328.59,6292.94,direct,,BTC
13373,2019-05-10 11:00:00,6309.08,6289.8,6292.94,1459.13,9204868.22,6305.43,direct,,BTC
