,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
47659,2025-04-01 12:00:00,84144.89,83610.49,83921.77,535.83,44948438.86,83612.16,direct,
47660,2025-04-01 13:00:00,83883.96,83402.02,83612.16,1598.56,133740855.41,83673.03,direct,
47661,2025-04-01 14:00:00,84340.72,82512.89,83673.03,4168.85,347214543.65,84197.53,direct,
47662,2025-04-01 15:00:00,85509.24,84181.84,84197.53,3792.34,322062222.01,85288.63,direct,
47663,2025-04-01 16:00:00,85492.53,84832.45,85288.63,1940.86,165223863.9,85124.0,direct,
47664,2025-04-01 17:00:00,85330.73,84912.34,85124.0,1201.13,102238648.82,85121.34,direct,
47665,2025-04-01 18:00:00,85174.92,84719.35,85121.34,1032.86,87726658.4,85119.51,direct,
47666,2025-04-01 19:00:00,85176.59,84806.22,85119.51,1150.51,97814228.44,84955.09,direct,
47667,2025-04-01 20:00:00,85342.71,84774.81,84955.09,726.04,61760537.77,85245.5,direct,
47668,2025-04-01 21:00:00,85472.65,85139.64,85245.5,487.94,41606562.82,85216.36,direct,
47669,2025-04-01 22:00:00,85464.62,85089.94,85216.36,523.06,44599082.2,85100.36,direct,
47670,2025-04-01 23:00:00,85554.98,84983.0,85100.36,533.61,45485596.32,85174.96,direct,
47671,2025-04-02 00:00:00,85257.28,84931.95,85174.96,580.11,49371738.86,84966.68,direct,
47672,2025-04-02 01:00:00,85209.85,84863.47,84966.68,480.77,40867772.65,85157.84,direct,
47673,2025-04-02 02:00:00,85166.82,84649.62,85157.84,645.02,54702855.87,84724.25,direct,
47674,2025-04-02 03:00:00,84907.96,84511.96,84724.25,501.8,42507771.33,84555.07,direct,
47675,2025-04-02 04:00:00,84727.13,84314.68,84555.07,472.07,39858930.37,84608.83,direct,
47676,2025-04-02 05:00:00,84608.86,84109.55,84608.83,350.28,29523378.05,84109.76,direct,
47677,2025-04-02 06:00:00,84351.78,83917.91,84109.76,545.12,45843153.64,84132.96,direct,
47678,2025-04-02 07:00:00,84459.7,84013.23,84132.96,414.0,34883915.26,84427.45,direct,
47679,2025-04-02 08:00:00,84747.91,84273.48,84427.45,562.86,47585692.15,84673.35,direct,
47680,2025-04-02 09:00:00,85432.83,84643.62,84673.35,597.61,50837170.2,85022.02,direct,
47681,2025-04-02 10:00:00,85296.71,84839.57,85022.02,431.11,36642294.23,84860.76,direct,
47682,2025-04-02 11:00:00,84971.56,84548.02,84860.76,329.32,27915702.8,84564.82,direct,
47683,2025-04-02 12:00:00,85057.22,84476.68,84564.82,865.11,73321633.06,85050.98,direct,
47684,2025-04-02 13:00:00,86099.08,84484.2,85050.98,2775.8,237084528.05,85255.38,direct,
47685,2025-04-02 14:00:00,85966.47,85224.91,85255.38,2419.5,207236490.26,85876.35,direct,
47686,2025-04-02 15:00:00,87370.2,85823.05,85876.35,5117.91,444135692.07,86777.89,direct,
47687,2025-04-02 16:00:00,87230.46,86603.79,86777.89,1472.59,128043218.91,87060.58,direct,
47688,2025-04-02 17:00:00,87323.06,86356.7,87060.58,1717.39,149163415.18,86623.64,direct,
47689,2025-04-02 18:00:00,86732.69,86218.03,86623.64,1369.86,118451354.62,86287.73,direct,
47690,2025-04-02 19:00:00,87009.03,86190.16,86287.73,1631.09,141023553.47,86925.72,direct,
47691,2025-04-02 20:00:00,88505.24,85214.92,86925.72,8964.98,774840353.0,85644.77,direct,
